flight,liftingcast_name,opl_slug,opl_name,confidence,include
A,Aaron Dignam,aarondignam,Aaron Dignam,high,yes
A,Anna Chirubvu,annachirubvu,Anna Chirubvu,high,yes
A,Anthony Vella,anthonyvella,Anthony Vella,high,yes
A,Emily Barr,emilybarr,Emily Barr,high,yes
A,Emma Jensen,emmajensen,Emma Jensen,high,yes
A,Eric Sandu,ericsandu,Eric Sandu,high,yes
A,Luke McSweeney,lukemcsweeney,Luke McSweeney,high,yes
A,Mary Osubor,maryosubor,Mary Osubor,high,yes
A,Max Lee,maxlee,Max Lee,high,yes
A,Oisin Ryan Nolan,oisinryannolan,Oisín Ryan-Nolan,high,yes
A,Przemyslaw Choromanski,przemyslawchoromanski,Przemyslaw Choromanski,high,yes
A,Shane O 'Leary,shaneoleary,Shane O'Leary,high,yes
A,Tristan Kavanagh,tristankavanagh,Tristan Kavanagh,high,yes
B,Andrew Yu,andrewyu,Andrew Yu,high,yes
B,Ben Smith,bensmith15,Ben Smith #15,high,yes
B,Calum Lennon Lynch,calumlennonlynch,Calum Lennon Lynch,high,yes
B,Christopher Lyons,christopherlyons,Christopher Lyons,high,yes
B,Cian Lynch,cianlynch,Cian Lynch,high,yes
B,Daniel Dolan,danieldolan,Daniel Dolan,high,yes
B,David Sherlock,davidsherlock,David Sherlock,high,yes
B,Jake Byrne,jakebyrne,Jake Byrne,high,yes
B,Joseph Akisanmi,josephakisanmi,Joseph Akisanmi,high,yes
B,Leo Pearlman-Spencer,leopearlmanspencer,Leo Pearlman-Spencer,high,yes
B,Ryan Dunican,ryandunican,Ryan Dunican,high,yes
B,Rónán Boland,ronanboland,Rónán Boland,high,yes
B,Samuel Ryan,samuelryan,Samuel Ryan,high,yes
B,Shane Buta,shanebuta,Shane Buta,high,yes
C,Adam Kilgore,adamkilgore,Adam Kilgore,high,yes
C,Ajay Mulhern,ajaymulhern,Ajay Mulhern,high,yes
C,Aleksandra Mihailovska,aleksandramihailovska,Aleksandra Mihailovska,high,yes
C,Angelo Jimenez,angelojimenez,Angelo Jimenez,high,yes
C,Ava Coleman,avacoleman,Ava Coleman,high,yes
C,Barry Walsh,barrywalsh1,Barry Walsh #1,high,yes
C,Cora Doyle,coradoyle,Cora Doyle,high,yes
